,Feature,Model_specific_imp,PFI
0,minmaxscaler__x_amount,0.1878611132306974,0.042875989317785114
1,ordinalencoder__x_enc_psp_Simplecard,0.07576564341449782,0.03764339064930674
2,minmaxscaler__x_3d_secured,0.11273662666839096,0.03492652200411957
3,ordinalencoder__x_enc_psp_Goldcard,0.1922647006420926,0.02384753866195205
4,ordinalencoder__x_enc_psp_UK_Card,0.061320740057506144,0.021228716934254387
5,ordinalencoder__x_enc_card_Master,0.046877406745491436,0.01184726931889014
6,ordinalencoder__x_enc_card_Visa,0.0481627404395921,0.00959210928422084
7,minmaxscaler__x_tmsp_h_sin,0.09473071897340143,0.00875404338322513
8,ordinalencoder__x_enc_psp_Moneycard,0.04850381907932443,0.008498879679619886
9,ordinalencoder__x_enc_card_Diners,0.03411099817778049,0.006277058402553892
10,minmaxscaler__x_tmsp_h_cos,0.09766549257122509,0.006211298121332154
