Feature,Importance
minmaxscaler__x_amount,0.1918208608461506
ordinalencoder__x_enc_psp_Goldcard,0.16235978255058256
minmaxscaler__x_tmsp_h_cos,0.09035608029888992
minmaxscaler__x_tmsp_h_sin,0.0841425688626127
minmaxscaler__x_3d_secured,0.06215500379997725
ordinalencoder__x_enc_card_Master,0.057476165247524504
minmaxscaler__x_tmsp_wd_cos,0.0561438048123254
minmaxscaler__x_tmsp_wd_sin,0.056101689322077215
ordinalencoder__x_enc_card_Visa,0.044307897295747516
ordinalencoder__x_enc_psp_UK_Card,0.03501326054881216
ordinalencoder__x_enc_card_Diners,0.03398398484737386
ordinalencoder__x_enc_country_Germany,0.03140111859984839
ordinalencoder__x_enc_psp_Simplecard,0.030053525490470818
ordinalencoder__x_enc_psp_Moneycard,0.027443843236148232
ordinalencoder__x_enc_country_Austria,0.0189087000359261
ordinalencoder__x_enc_country_Switzerland,0.018331714205532722
