Feature,Importance
minmaxscaler__x_amount,0.3703462561110331
ordinalencoder__x_enc_psp_Goldcard,0.1106448366653921
minmaxscaler__x_tmsp_h_cos,0.07956892176894854
minmaxscaler__x_tmsp_h_sin,0.07483494751124271
minmaxscaler__x_3d_secured,0.06334115301062541
minmaxscaler__x_tmsp_wd_sin,0.0472609945430558
ordinalencoder__x_enc_card_Master,0.033453209620534545
ordinalencoder__x_enc_card_Visa,0.03294216410650147
ordinalencoder__x_enc_psp_Moneycard,0.03066132231983765
minmaxscaler__x_tmsp_wd_cos,0.02911980856538184
ordinalencoder__x_enc_psp_UK_Card,0.026718696127917586
ordinalencoder__x_enc_psp_Simplecard,0.02551256409504325
ordinalencoder__x_enc_card_Diners,0.02386059584625288
ordinalencoder__x_enc_country_Germany,0.0189751519310683
ordinalencoder__x_enc_country_Switzerland,0.01642076131300227
ordinalencoder__x_enc_country_Austria,0.01633861646416258
