Feature,Importance
minmaxscaler__x_3d_secured,0.1355423374845228
ordinalencoder__x_enc_psp_Goldcard,0.10399254986536197
ordinalencoder__x_enc_card_Diners,0.029043182672073783
minmaxscaler__x_tmsp_wd_sin,0.026500543053471402
ordinalencoder__x_enc_card_Visa,0.0
minmaxscaler__x_tmsp_wd_cos,-0.005332324718633509
ordinalencoder__x_enc_card_Master,-0.016821662511194373
minmaxscaler__x_tmsp_h_sin,-0.049853346531215446
minmaxscaler__x_tmsp_h_cos,-0.06992178797320855
ordinalencoder__x_enc_country_Germany,-0.19629095129204677
ordinalencoder__x_enc_country_Austria,-0.19838527197877157
ordinalencoder__x_enc_country_Switzerland,-0.19943474725412436
ordinalencoder__x_enc_psp_Moneycard,-0.2893668274638346
ordinalencoder__x_enc_psp_UK_Card,-0.3370603210219711
minmaxscaler__x_amount,-0.37150129261364645
ordinalencoder__x_enc_psp_Simplecard,-0.41249883062860865
