Feature,Importance
minmaxscaler__x_amount,0.5715696211684068
minmaxscaler__x_tmsp_h_sin,0.06591451791186975
minmaxscaler__x_tmsp_h_cos,0.06506675587657677
minmaxscaler__x_tmsp_wd_sin,0.03660046396661432
minmaxscaler__x_3d_secured,0.03584425636387652
ordinalencoder__x_enc_psp_Goldcard,0.027030298471153576
minmaxscaler__x_tmsp_wd_cos,0.026352469880902247
ordinalencoder__x_enc_country_Germany,0.020317752694306468
ordinalencoder__x_enc_card_Master,0.020159482087557162
ordinalencoder__x_enc_card_Visa,0.02012089716794556
ordinalencoder__x_enc_psp_UK_Card,0.019804862619040558
ordinalencoder__x_enc_psp_Moneycard,0.01975411622654953
ordinalencoder__x_enc_psp_Simplecard,0.019651740945336005
ordinalencoder__x_enc_country_Austria,0.01857712927312087
ordinalencoder__x_enc_card_Diners,0.016818040512201638
ordinalencoder__x_enc_country_Switzerland,0.01641759483454223
