Feature,Importance
minmaxscaler__x_amount,0.4772706823767014
minmaxscaler__x_tmsp_h_sin,0.07995815872989877
minmaxscaler__x_tmsp_h_cos,0.07900755883113822
minmaxscaler__x_tmsp_wd_sin,0.06404880111222545
ordinalencoder__x_enc_psp_Goldcard,0.04929935827703331
minmaxscaler__x_tmsp_wd_cos,0.03954344604784055
minmaxscaler__x_3d_secured,0.03497454163894826
ordinalencoder__x_enc_country_Germany,0.024005376799080113
ordinalencoder__x_enc_card_Master,0.023446437665588276
ordinalencoder__x_enc_card_Diners,0.022520700076405487
ordinalencoder__x_enc_psp_UK_Card,0.021017456994122656
ordinalencoder__x_enc_card_Visa,0.020963356621161434
ordinalencoder__x_enc_country_Austria,0.019895008954820916
ordinalencoder__x_enc_country_Switzerland,0.01875536661323013
ordinalencoder__x_enc_psp_Simplecard,0.01307714241322337
ordinalencoder__x_enc_psp_Moneycard,0.012216606848581826
