Feature,Importance
minmaxscaler__x_amount,0.385095755339231
ordinalencoder__x_enc_psp_Goldcard,0.09210116040212794
minmaxscaler__x_tmsp_h_sin,0.08475546731558953
minmaxscaler__x_tmsp_h_cos,0.07741008049733464
minmaxscaler__x_3d_secured,0.05761630351277279
minmaxscaler__x_tmsp_wd_sin,0.05464031175321707
minmaxscaler__x_tmsp_wd_cos,0.03396337131372282
ordinalencoder__x_enc_card_Master,0.033283554255938375
ordinalencoder__x_enc_card_Visa,0.02795591885347914
ordinalencoder__x_enc_psp_Simplecard,0.026993348359506317
ordinalencoder__x_enc_psp_Moneycard,0.02670296122765379
ordinalencoder__x_enc_psp_UK_Card,0.02261989267740026
ordinalencoder__x_enc_country_Germany,0.02192938417016344
ordinalencoder__x_enc_card_Diners,0.020433675277602124
ordinalencoder__x_enc_country_Switzerland,0.018969442423777683
ordinalencoder__x_enc_country_Austria,0.015529372620482935
