Feature,Importance
ordinalencoder__x_enc_psp_Goldcard,0.9519997641535858
minmaxscaler__x_3d_secured,0.4040323955876276
ordinalencoder__x_enc_card_Diners,0.08925748961286206
minmaxscaler__x_tmsp_wd_sin,0.08072415024828142
ordinalencoder__x_enc_psp_Moneycard,0.007948418879683594
ordinalencoder__x_enc_country_Germany,0.005885198925100045
ordinalencoder__x_enc_card_Visa,0.0
ordinalencoder__x_enc_country_Austria,-1.9446754274299727e-06
ordinalencoder__x_enc_country_Switzerland,-0.003914882727836493
minmaxscaler__x_tmsp_wd_cos,-0.017096928461375314
ordinalencoder__x_enc_card_Master,-0.05243730226947125
ordinalencoder__x_enc_psp_UK_Card,-0.1393223340192678
minmaxscaler__x_tmsp_h_sin,-0.15712559429811676
minmaxscaler__x_tmsp_h_cos,-0.21906385572438192
ordinalencoder__x_enc_psp_Simplecard,-0.40183013577565696
minmaxscaler__x_amount,-1.1839880302851074
