Feature,Importance
ordinalencoder__x_enc_psp_Goldcard,0.2899580140300878
minmaxscaler__x_3d_secured,0.135562109188667
minmaxscaler__x_tmsp_wd_sin,0.026560431342016123
minmaxscaler__x_tmsp_wd_cos,-0.005339361366991893
ordinalencoder__x_enc_card_Diners,-0.038697594843363714
minmaxscaler__x_tmsp_h_sin,-0.04989072835062811
ordinalencoder__x_enc_country_Germany,-0.0619387681241093
ordinalencoder__x_enc_country_Austria,-0.06404926520081788
ordinalencoder__x_enc_country_Switzerland,-0.06510495566921184
ordinalencoder__x_enc_card_Visa,-0.0677987520685362
minmaxscaler__x_tmsp_h_cos,-0.06993689644448586
ordinalencoder__x_enc_card_Master,-0.08459664208224241
ordinalencoder__x_enc_psp_Moneycard,-0.10341733687766469
ordinalencoder__x_enc_psp_UK_Card,-0.15110196331831496
ordinalencoder__x_enc_psp_Simplecard,-0.2265317028282553
minmaxscaler__x_amount,-0.3713678665349641
