Feature,Importance
minmaxscaler__x_amount,0
minmaxscaler__x_3d_secured,0
minmaxscaler__x_tmsp_h_sin,0
minmaxscaler__x_tmsp_h_cos,0
minmaxscaler__x_tmsp_wd_sin,0
minmaxscaler__x_tmsp_wd_cos,0
ordinalencoder__x_enc_country_Austria,0
ordinalencoder__x_enc_country_Germany,0
ordinalencoder__x_enc_country_Switzerland,0
ordinalencoder__x_enc_psp_Goldcard,0
ordinalencoder__x_enc_psp_Moneycard,0
ordinalencoder__x_enc_psp_Simplecard,0
ordinalencoder__x_enc_psp_UK_Card,0
ordinalencoder__x_enc_card_Diners,0
ordinalencoder__x_enc_card_Master,0
ordinalencoder__x_enc_card_Visa,0
