Feature,Importance
ordinalencoder__x_enc_psp_Goldcard,0.32411539864978134
minmaxscaler__x_amount,0.17974767768636893
minmaxscaler__x_3d_secured,0.13470977529139366
ordinalencoder__x_enc_psp_Moneycard,0.07905372668154165
ordinalencoder__x_enc_psp_UK_Card,0.06474011100796408
ordinalencoder__x_enc_psp_Simplecard,0.06335570595508105
minmaxscaler__x_tmsp_h_sin,0.05621933592028629
minmaxscaler__x_tmsp_h_cos,0.03958623877860806
ordinalencoder__x_enc_card_Diners,0.018883245805928536
ordinalencoder__x_enc_card_Visa,0.011638706795490696
ordinalencoder__x_enc_card_Master,0.009855006925879395
minmaxscaler__x_tmsp_wd_cos,0.007568078892177467
minmaxscaler__x_tmsp_wd_sin,0.007305564984774235
ordinalencoder__x_enc_country_Austria,0.0015154162522166338
ordinalencoder__x_enc_country_Switzerland,0.0012207439763816884
ordinalencoder__x_enc_country_Germany,0.00048526639612649265
