Feature,Importance
minmaxscaler__x_amount,0.7040900024387614
minmaxscaler__x_tmsp_h_sin,0.0469893235110825
minmaxscaler__x_tmsp_h_cos,0.044817331961358606
minmaxscaler__x_3d_secured,0.027334094343513974
minmaxscaler__x_tmsp_wd_sin,0.027113327910094295
ordinalencoder__x_enc_psp_Goldcard,0.02237427614228433
minmaxscaler__x_tmsp_wd_cos,0.020270742932828097
ordinalencoder__x_enc_country_Germany,0.01701676247263479
ordinalencoder__x_enc_country_Switzerland,0.015076379235374708
ordinalencoder__x_enc_country_Austria,0.015000310357354066
ordinalencoder__x_enc_card_Master,0.013629430292915901
ordinalencoder__x_enc_card_Visa,0.011740064967444595
ordinalencoder__x_enc_card_Diners,0.010771548426768487
ordinalencoder__x_enc_psp_UK_Card,0.008240883641114659
ordinalencoder__x_enc_psp_Simplecard,0.008011605403508528
ordinalencoder__x_enc_psp_Moneycard,0.007523915962960938
