Feature,Importance
minmaxscaler__x_amount,0.5139379839914998
minmaxscaler__x_tmsp_h_sin,0.0811872913786172
minmaxscaler__x_tmsp_h_cos,0.06958656828757394
minmaxscaler__x_tmsp_wd_sin,0.05797967067623523
minmaxscaler__x_tmsp_wd_cos,0.04122821725808886
minmaxscaler__x_3d_secured,0.033788837549113916
ordinalencoder__x_enc_country_Germany,0.03287929112149324
ordinalencoder__x_enc_country_Austria,0.02988022856885137
ordinalencoder__x_enc_country_Switzerland,0.028316876515924863
ordinalencoder__x_enc_psp_Goldcard,0.025064880318663017
ordinalencoder__x_enc_card_Master,0.0231407760907537
ordinalencoder__x_enc_card_Visa,0.017598362619768288
ordinalencoder__x_enc_card_Diners,0.017493527055721436
ordinalencoder__x_enc_psp_UK_Card,0.011022604120921807
ordinalencoder__x_enc_psp_Simplecard,0.009811249904937237
ordinalencoder__x_enc_psp_Moneycard,0.007083634541836037
